country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
NG,KE,,,37.8,0.0,RE_PV_Rooftop_Lim_[KE]
NG,KE,,,37.8,0.2,RE_PV_Openfield_Lim_[KE]
NG,KE,,,37.8,1.1,RE_WIND_Onshore_Lim_[KE]
NG,KE,,,37.8,0.0,RE_WIND_Offshore_Lim_[KE]
NG,KE,,,37.8,0.5,PP_CO2_[KE]
NG,KE,,,37.8,0.1,BESS_[KE]
NG,KE,,,37.8,0.1,EL_to_HTH_[KE]
NG,KE,,,37.8,0.0,EL_to_NH3_[KE]
NG,KE,,,37.8,0.0,NH3_Storage_[KE]
NG,KE,,,37.8,0.0,NH3_to_EL_[KE]
NG,KE,,,37.8,0.0,NH3_to_HTH_[KE]
NG,KE,,,37.8,0.3,FF_to_HTH_[KE]
NG,KE,,,37.8,0.0,EL_Demand_[KE]
NG,KE,,,37.8,0.0,HTH_Demand_[KE]
NG,KE,,,37.8,0.0,RE_PV_Rooftop_Lim_[NG]
NG,KE,,,37.8,3.3,RE_PV_Openfield_Lim_[NG]
NG,KE,,,37.8,8.9,RE_WIND_Onshore_Lim_[NG]
NG,KE,,,37.8,0.0,RE_WIND_Offshore_Lim_[NG]
NG,KE,,,37.8,2.6,PP_CO2_[NG]
NG,KE,,,37.8,2.3,BESS_[NG]
NG,KE,,,37.8,0.5,EL_to_HTH_[NG]
NG,KE,,,37.8,0.0,EL_to_NH3_[NG]
NG,KE,,,37.8,0.0,NH3_Storage_[NG]
NG,KE,,,37.8,0.0,NH3_to_EL_[NG]
NG,KE,,,37.8,0.0,NH3_to_HTH_[NG]
NG,KE,,,37.8,2.7,FF_to_HTH_[NG]
NG,KE,,,37.8,0.0,EL_Demand_[NG]
NG,KE,,,37.8,0.0,HTH_Demand_[NG]
NG,KE,,,9.5,0.0,RE_PV_Rooftop_Lim_[KE]
NG,KE,,,9.5,0.3,RE_PV_Openfield_Lim_[KE]
NG,KE,,,9.5,1.3,RE_WIND_Onshore_Lim_[KE]
